"","Cl_mgL","Cond_uscm","Temperature_C"
"1",4.69120611461783,2.87577520124614,"Low"
"2",6.91297892187033,7.88305135443807,"Low"
"3",5.00201415176718,4.089769218117,"Low"
"4",8.78368930403911,8.83017404004931,"Low"
"5",7.47656543580996,9.40467284293845,"Low"
"6",4.7442531013792,0.455564993899316,"Low"
"7",4.0917746360048,5.28105488047004,"Low"
"8",8.0467089716063,8.92419044394046,"Low"
"9",5.88102931617373,5.51435014465824,"Low"
"10",5.49901524526121,4.56614735303447,"Low"
"11",8.16380620950927,9.56833345349878,"Low"
"12",4.76434732784558,4.53334156190977,"Low"
"13",6.05464579359491,6.77570635452867,"Low"
"14",4.84459162667496,5.72633401956409,"Low"
"15",2.4428321868525,1.02924682665616,"Low"
"16",7.80265349341338,8.99824970401824,"Low"
"17",4.67864845040273,2.4608773435466,"Low"
"18",3.26330189438474,0.420595335308462,"Low"
"19",5.56187106429325,3.27920719282702,"Low"
"20",9.82260293136328,9.54503649147227,"Low"
"21",6.9566654142622,8.89539316063747,"Low"
"22",4.15484815514218,6.928034061566,"Low"
"23",7.20827259330374,6.40506813768297,"Low"
"24",7.26214812053609,9.94269776623696,"Low"
"25",5.59052037911175,6.55705799115822,"Low"
"26",7.56822371053538,7.08530468167737,"Low"
"27",5.43555711650577,5.44066024711356,"Low"
"28",4.74999238998136,5.9414202044718,"Low"
"29",4.62710216622185,2.8915973729454,"Low"
"30",3.59667687412058,1.47113647311926,"Low"
"31",7.82088534858266,9.63024232536554,"Low"
"32",7.8967756267235,9.02299045119435,"Low"
"33",6.08286636032101,6.90705278422683,"Low"
"34",7.62171363695472,7.95467417687178,"Low"
"35",2.902581860726,0.246136845089495,"Low"
"36",5.72076181937488,4.77795971091837,"Low"
"37",7.88913670076368,7.58459537522867,"Low"
"38",4.5172211700016,2.16407935833558,"Low"
"39",4.26497345264301,3.18181007634848,"Low"
"40",5.3069365452144,2.31625785352662,"Low"
"41",4.70750396787357,1.42800022382289,"Low"
"42",5.62112863858067,4.14546335814521,"Low"
"43",5.30735336659033,4.13724326295778,"Low"
"44",4.21632117858418,3.68845450924709,"Low"
"45",5.12287618724134,1.52444747742265,"Low"
"46",3.09377073009792,1.3880606344901,"Low"
"47",6.35250349027756,2.33034099452198,"Low"
"48",6.86242287744942,4.65962450252846,"Low"
"49",4.09416284272633,2.65972640365362,"Low"
"50",6.26271767640754,8.57827715342864,"Low"
"51",4.51874926966796,0.458311666734517,"High"
"52",7.4678840801824,4.42200074205175,"High"
"53",8.74793234975433,7.98924845643342,"High"
"54",5.26195370047817,1.2189925997518,"High"
"55",6.85312135152761,5.60947983758524,"High"
"56",5.98762922327323,2.0653138961643,"High"
"57",4.85275378175956,1.27531650243327,"High"
"58",7.09859738492571,7.53307864302769,"High"
"59",9.09500027547874,8.95045359153301,"High"
"60",7.79131048849106,3.74462775886059,"High"
"61",7.75022901053168,6.65115194628015,"High"
"62",6.08216762684549,0.948406609240919,"High"
"63",5.30196548070156,3.83969637798145,"High"
"64",6.31635625734241,2.7438364457339,"High"
"65",9.5926073983414,8.14640038879588,"High"
"66",7.54373506912647,4.48516341391951,"High"
"67",9.15599795939295,8.10064353048801,"High"
"68",8.42124153929243,8.12389509519562,"High"
"69",8.12200725952086,7.94342321110889,"High"
"70",6.17502964741082,4.39831687603146,"High"
"71",8.89002239029639,7.54475158639252,"High"
"72",7.1986310436125,6.29221131559461,"High"
"73",8.06035456305749,7.10182401351631,"High"
"74",4.74703167442875,0.00624773325398564,"High"
"75",9.22044487572492,4.75316574098542,"High"
"76",5.44864452411132,2.20118885161355,"High"
"77",7.13446926089958,3.79816537722945,"High"
"78",8.14181586593495,6.12771003274247,"High"
"79",5.79713291208503,3.51797909243032,"High"
"80",5.48436903561437,1.11135424347594,"High"
"81",7.66264822202199,2.43619472719729,"High"
"82",8.79178199032011,6.6805558744818,"High"
"83",7.12946682038675,4.17646779678762,"High"
"84",8.5184823378077,7.88195834029466,"High"
"85",3.46107599974624,1.02864644257352,"High"
"86",8.30580092090221,4.34892741497606,"High"
"87",8.46414482899727,9.84956979984418,"High"
"88",10.2052030828723,8.93051114398986,"High"
"89",11.3414488731571,8.86469060787931,"High"
"90",4.43137009039243,1.75052650272846,"High"
"91",6.35526279319997,1.30695691565052,"High"
"92",8.00331213579585,6.53101925039664,"High"
"93",5.14543820216151,3.43516472261399,"High"
"94",6.76912298605273,6.56758127966896,"High"
"95",5.00033003886606,3.20373242488131,"High"
"96",5.40754907416307,1.87691119266674,"High"
"97",7.44971592158481,7.82294301316142,"High"
"98",6.15589170653863,0.935949867125601,"High"
"99",9.43400414837407,4.6677904156968,"High"
"100",6.27049682346955,5.11505459900945,"High"
